linear_idx,head,row,col,actual_bf16_hex,expected_bf16_hex,actual_float,expected_float,abs_err,row_error,out_last,pass
182,0,1,54,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
183,0,1,55,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
184,0,1,56,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
185,0,1,57,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
186,0,1,58,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
187,0,1,59,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
188,0,1,60,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
189,0,1,61,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
190,0,1,62,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
191,0,1,63,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
192,0,1,64,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
193,0,1,65,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
194,0,1,66,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
195,0,1,67,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
196,0,1,68,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
197,0,1,69,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
198,0,1,70,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
199,0,1,71,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
200,0,1,72,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
201,0,1,73,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
202,0,1,74,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
203,0,1,75,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
204,0,1,76,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
205,0,1,77,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
206,0,1,78,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
207,0,1,79,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
208,0,1,80,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
209,0,1,81,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
210,0,1,82,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
211,0,1,83,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
212,0,1,84,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
213,0,1,85,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
214,0,1,86,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
215,0,1,87,0000,0000,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0,0,1
