head,row,row_sum_actual,row_sum_expected,row_max_abs_err,row_fail_count,row_pass
1,59,9.9609375000e-01,1.0008544922e+00,1.2207031250e-04,0,1
1,60,9.9780273438e-01,9.9890136719e-01,1.2207031250e-04,0,1
1,61,9.9902343750e-01,9.9938964844e-01,1.2207031250e-04,0,1
1,62,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
1,63,1.0000000000e+00,9.9993896484e-01,6.1035156250e-05,0,1
1,64,9.9975585938e-01,1.0002441406e+00,6.1035156250e-05,0,1
1,65,9.9902343750e-01,1.0000610352e+00,6.1035156250e-05,0,1
1,66,9.9780273438e-01,1.0003051758e+00,6.1035156250e-05,0,1
1,67,1.0002441406e+00,1.0000610352e+00,6.1035156250e-05,0,1
1,68,1.0018310547e+00,9.9981689453e-01,1.2207031250e-04,0,1
1,69,9.9926757812e-01,9.9987792969e-01,1.8310546875e-04,0,1
1,70,1.0007934570e+00,1.0001831055e+00,1.2207031250e-04,0,1
1,71,1.0019531250e+00,1.0004272461e+00,6.1035156250e-05,0,1
1,72,1.0001220703e+00,1.0002441406e+00,1.2207031250e-04,0,1
1,73,1.0009765625e+00,1.0001220703e+00,1.8310546875e-04,0,1
1,74,9.9792480469e-01,9.9969482422e-01,6.1035156250e-05,0,1
1,75,1.0019531250e+00,9.9993896484e-01,6.1035156250e-05,0,1
1,76,1.0008544922e+00,1.0003051758e+00,1.2207031250e-04,0,1
1,77,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
1,78,1.0029296875e+00,9.9945068359e-01,6.1035156250e-05,0,1
1,79,1.0009765625e+00,1.0003051758e+00,6.1035156250e-05,0,1
1,80,9.9865722656e-01,9.9951171875e-01,6.1035156250e-05,0,1
1,81,1.0009765625e+00,1.0003051758e+00,6.1035156250e-05,0,1
1,82,1.0030517578e+00,9.9951171875e-01,6.1035156250e-05,0,1
1,83,9.9957275391e-01,9.9987792969e-01,1.2207031250e-04,0,1
1,84,1.0012817383e+00,1.0003051758e+00,6.1035156250e-05,0,1
1,85,9.9719238281e-01,1.0003051758e+00,1.2207031250e-04,0,1
1,86,9.9829101562e-01,9.9920654297e-01,6.1035156250e-05,0,1
1,87,9.9890136719e-01,9.9951171875e-01,6.1035156250e-05,0,1
1,88,9.9951171875e-01,9.9957275391e-01,6.1035156250e-05,0,1
1,89,9.9975585938e-01,9.9987792969e-01,6.1035156250e-05,0,1
1,90,9.9938964844e-01,9.9981689453e-01,6.1035156250e-05,0,1
1,91,9.9951171875e-01,9.9957275391e-01,6.1035156250e-05,0,1
1,92,9.9902343750e-01,9.9926757812e-01,6.1035156250e-05,0,1
1,93,9.9829101562e-01,9.9926757812e-01,6.1035156250e-05,0,1
1,94,9.9731445312e-01,9.9975585938e-01,6.1035156250e-05,0,1
1,95,9.9609375000e-01,1.0004272461e+00,6.1035156250e-05,0,1
1,96,1.0005493164e+00,1.0005493164e+00,0.0000000000e+00,0,1
1,97,9.9890136719e-01,9.9957275391e-01,6.1035156250e-05,0,1
1,98,1.0030517578e+00,1.0000610352e+00,6.1035156250e-05,0,1
1,99,1.0009765625e+00,1.0008544922e+00,6.1035156250e-05,0,1
1,100,9.9865722656e-01,9.9896240234e-01,6.1035156250e-05,0,1
1,101,9.9609375000e-01,1.0005493164e+00,6.1035156250e-05,0,1
1,102,9.9957275391e-01,9.9963378906e-01,6.1035156250e-05,0,1
1,103,1.0021972656e+00,1.0003662109e+00,1.2207031250e-04,0,1
1,104,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
1,105,9.9633789062e-01,1.0007324219e+00,6.1035156250e-05,0,1
1,106,9.9920654297e-01,9.9951171875e-01,6.1035156250e-05,0,1
1,107,1.0019531250e+00,1.0015869141e+00,6.1035156250e-05,0,1
1,108,9.9792480469e-01,9.9877929688e-01,6.1035156250e-05,0,1
1,109,1.0000000000e+00,1.0001220703e+00,1.2207031250e-04,0,1
1,110,1.0025634766e+00,1.0009765625e+00,6.1035156250e-05,0,1
1,111,9.9804687500e-01,9.9847412109e-01,6.1035156250e-05,0,1
1,112,1.0000610352e+00,1.0000610352e+00,0.0000000000e+00,0,1
1,113,1.0019531250e+00,1.0014648438e+00,6.1035156250e-05,0,1
1,114,9.9670410156e-01,9.9981689453e-01,6.1035156250e-05,0,1
1,115,9.9829101562e-01,9.9853515625e-01,6.1035156250e-05,0,1
1,116,9.9951171875e-01,9.9963378906e-01,6.1035156250e-05,0,1
1,117,1.0010986328e+00,1.0010375977e+00,6.1035156250e-05,0,1
1,118,1.0021972656e+00,1.0014038086e+00,6.1035156250e-05,0,1
1,119,9.9609375000e-01,1.0003051758e+00,6.1035156250e-05,0,1
1,120,1.0043945312e+00,9.9902343750e-01,6.1035156250e-05,0,1
1,121,9.9780273438e-01,9.9859619141e-01,6.1035156250e-05,0,1
1,122,9.9847412109e-01,9.9859619141e-01,6.1035156250e-05,0,1
1,123,9.9902343750e-01,9.9902343750e-01,0.0000000000e+00,0,1
1,124,9.9945068359e-01,9.9951171875e-01,6.1035156250e-05,0,1
1,125,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
